case_id,field_type,null_status,verdict,count
1,categorical,null,CORRECT,0
1,categorical,null,INCORRECT,0
1,categorical,null,UNVERIFIABLE,34
1,categorical,nonnull,CORRECT,95
1,categorical,nonnull,INCORRECT,3
1,categorical,nonnull,UNVERIFIABLE,0
1,numeric,null,CORRECT,0
1,numeric,null,INCORRECT,0
1,numeric,null,UNVERIFIABLE,72
1,numeric,nonnull,CORRECT,15
1,numeric,nonnull,INCORRECT,1
1,numeric,nonnull,UNVERIFIABLE,0
2,categorical,null,CORRECT,0
2,categorical,null,INCORRECT,0
2,categorical,null,UNVERIFIABLE,66
2,categorical,nonnull,CORRECT,291
2,categorical,nonnull,INCORRECT,0
2,categorical,nonnull,UNVERIFIABLE,3
2,numeric,null,CORRECT,0
2,numeric,null,INCORRECT,0
2,numeric,null,UNVERIFIABLE,157
2,numeric,nonnull,CORRECT,128
2,numeric,nonnull,INCORRECT,3
2,numeric,nonnull,UNVERIFIABLE,0
3,categorical,null,CORRECT,5
3,categorical,null,INCORRECT,0
3,categorical,null,UNVERIFIABLE,833
3,categorical,nonnull,CORRECT,2499
3,categorical,nonnull,INCORRECT,24
3,categorical,nonnull,UNVERIFIABLE,3
3,numeric,null,CORRECT,17
3,numeric,null,INCORRECT,18
3,numeric,null,UNVERIFIABLE,2202
3,numeric,nonnull,CORRECT,1924
3,numeric,nonnull,INCORRECT,42
3,numeric,nonnull,UNVERIFIABLE,2
4,categorical,null,CORRECT,9
4,categorical,null,INCORRECT,0
4,categorical,null,UNVERIFIABLE,1299
4,categorical,nonnull,CORRECT,8291
4,categorical,nonnull,INCORRECT,58
4,categorical,nonnull,UNVERIFIABLE,119
4,numeric,null,CORRECT,6
4,numeric,null,INCORRECT,2
4,numeric,null,UNVERIFIABLE,5054
4,numeric,nonnull,CORRECT,4436
4,numeric,nonnull,INCORRECT,252
4,numeric,nonnull,UNVERIFIABLE,26
5,categorical,null,CORRECT,0
5,categorical,null,INCORRECT,0
5,categorical,null,UNVERIFIABLE,119
5,categorical,nonnull,CORRECT,1744
5,categorical,nonnull,INCORRECT,9
5,categorical,nonnull,UNVERIFIABLE,4
5,numeric,null,CORRECT,0
5,numeric,null,INCORRECT,0
5,numeric,null,UNVERIFIABLE,1677
5,numeric,nonnull,CORRECT,193
5,numeric,nonnull,INCORRECT,6
5,numeric,nonnull,UNVERIFIABLE,0
6,categorical,null,CORRECT,3
6,categorical,null,INCORRECT,0
6,categorical,null,UNVERIFIABLE,400
6,categorical,nonnull,CORRECT,2444
6,categorical,nonnull,INCORRECT,27
6,categorical,nonnull,UNVERIFIABLE,46
6,numeric,null,CORRECT,1
6,numeric,null,INCORRECT,0
6,numeric,null,UNVERIFIABLE,1545
6,numeric,nonnull,CORRECT,781
6,numeric,nonnull,INCORRECT,8
6,numeric,nonnull,UNVERIFIABLE,1
7,categorical,null,CORRECT,0
7,categorical,null,INCORRECT,0
7,categorical,null,UNVERIFIABLE,53
7,categorical,nonnull,CORRECT,252
7,categorical,nonnull,INCORRECT,2
7,categorical,nonnull,UNVERIFIABLE,1
7,numeric,null,CORRECT,0
7,numeric,null,INCORRECT,0
7,numeric,null,UNVERIFIABLE,241
7,numeric,nonnull,CORRECT,65
7,numeric,nonnull,INCORRECT,1
7,numeric,nonnull,UNVERIFIABLE,1
8,categorical,null,CORRECT,29
8,categorical,null,INCORRECT,0
8,categorical,null,UNVERIFIABLE,348
8,categorical,nonnull,CORRECT,832
8,categorical,nonnull,INCORRECT,15
8,categorical,nonnull,UNVERIFIABLE,8
8,numeric,null,CORRECT,4
8,numeric,null,INCORRECT,0
8,numeric,null,UNVERIFIABLE,718
8,numeric,nonnull,CORRECT,184
8,numeric,nonnull,INCORRECT,14
8,numeric,nonnull,UNVERIFIABLE,4
9,categorical,null,CORRECT,0
9,categorical,null,INCORRECT,0
9,categorical,null,UNVERIFIABLE,980
9,categorical,nonnull,CORRECT,1907
9,categorical,nonnull,INCORRECT,8
9,categorical,nonnull,UNVERIFIABLE,5
9,numeric,null,CORRECT,0
9,numeric,null,INCORRECT,0
9,numeric,null,UNVERIFIABLE,1898
9,numeric,nonnull,CORRECT,419
9,numeric,nonnull,INCORRECT,3
9,numeric,nonnull,UNVERIFIABLE,0
10,categorical,null,CORRECT,2
10,categorical,null,INCORRECT,0
10,categorical,null,UNVERIFIABLE,337
10,categorical,nonnull,CORRECT,1410
10,categorical,nonnull,INCORRECT,12
10,categorical,nonnull,UNVERIFIABLE,9
10,numeric,null,CORRECT,0
10,numeric,null,INCORRECT,0
10,numeric,null,UNVERIFIABLE,1173
10,numeric,nonnull,CORRECT,238
10,numeric,nonnull,INCORRECT,5
10,numeric,nonnull,UNVERIFIABLE,0
11,categorical,null,CORRECT,0
11,categorical,null,INCORRECT,0
11,categorical,null,UNVERIFIABLE,150
11,categorical,nonnull,CORRECT,589
11,categorical,nonnull,INCORRECT,13
11,categorical,nonnull,UNVERIFIABLE,7
11,numeric,null,CORRECT,1
11,numeric,null,INCORRECT,0
11,numeric,null,UNVERIFIABLE,1344
11,numeric,nonnull,CORRECT,167
11,numeric,nonnull,INCORRECT,6
11,numeric,nonnull,UNVERIFIABLE,0
12,categorical,null,CORRECT,8
12,categorical,null,INCORRECT,0
12,categorical,null,UNVERIFIABLE,2920
12,categorical,nonnull,CORRECT,7284
12,categorical,nonnull,INCORRECT,39
12,categorical,nonnull,UNVERIFIABLE,69
12,numeric,null,CORRECT,90
12,numeric,null,INCORRECT,0
12,numeric,null,UNVERIFIABLE,1029
12,numeric,nonnull,CORRECT,591
12,numeric,nonnull,INCORRECT,10
12,numeric,nonnull,UNVERIFIABLE,0
13,categorical,null,CORRECT,2
13,categorical,null,INCORRECT,0
13,categorical,null,UNVERIFIABLE,199
13,categorical,nonnull,CORRECT,1137
13,categorical,nonnull,INCORRECT,18
13,categorical,nonnull,UNVERIFIABLE,4
13,numeric,null,CORRECT,0
13,numeric,null,INCORRECT,0
13,numeric,null,UNVERIFIABLE,1424
13,numeric,nonnull,CORRECT,263
13,numeric,nonnull,INCORRECT,11
13,numeric,nonnull,UNVERIFIABLE,2
14,categorical,null,CORRECT,7
14,categorical,null,INCORRECT,0
14,categorical,null,UNVERIFIABLE,759
14,categorical,nonnull,CORRECT,2433
14,categorical,nonnull,INCORRECT,22
14,categorical,nonnull,UNVERIFIABLE,37
14,numeric,null,CORRECT,2
14,numeric,null,INCORRECT,0
14,numeric,null,UNVERIFIABLE,3119
14,numeric,nonnull,CORRECT,1191
14,numeric,nonnull,INCORRECT,30
14,numeric,nonnull,UNVERIFIABLE,2
15,categorical,null,CORRECT,11
15,categorical,null,INCORRECT,0
15,categorical,null,UNVERIFIABLE,715
15,categorical,nonnull,CORRECT,4552
15,categorical,nonnull,INCORRECT,41
15,categorical,nonnull,UNVERIFIABLE,81
15,numeric,null,CORRECT,0
15,numeric,null,INCORRECT,0
15,numeric,null,UNVERIFIABLE,2941
15,numeric,nonnull,CORRECT,2430
15,numeric,nonnull,INCORRECT,26
15,numeric,nonnull,UNVERIFIABLE,3
16,categorical,null,CORRECT,0
16,categorical,null,INCORRECT,0
16,categorical,null,UNVERIFIABLE,94
16,categorical,nonnull,CORRECT,704
16,categorical,nonnull,INCORRECT,0
16,categorical,nonnull,UNVERIFIABLE,2
16,numeric,null,CORRECT,0
16,numeric,null,INCORRECT,0
16,numeric,null,UNVERIFIABLE,186
16,numeric,nonnull,CORRECT,178
16,numeric,nonnull,INCORRECT,33
16,numeric,nonnull,UNVERIFIABLE,3
17,categorical,null,CORRECT,0
17,categorical,null,INCORRECT,0
17,categorical,null,UNVERIFIABLE,113
17,categorical,nonnull,CORRECT,682
17,categorical,nonnull,INCORRECT,5
17,categorical,nonnull,UNVERIFIABLE,0
17,numeric,null,CORRECT,0
17,numeric,null,INCORRECT,0
17,numeric,null,UNVERIFIABLE,523
17,numeric,nonnull,CORRECT,67
17,numeric,nonnull,INCORRECT,10
