case_id,slug,source,query_sha256,query_semantics,checked_utc,endpoint,current_source_reported_hits,status,response_sha256,error_type,error_message
1,nurse_staffing_mortality,pubmed,2b56893fd79777fc72345fce876b50d0508a03529a506ce3c6c99b9c692cd2dd,source_specific_query,2026-09-19T14:06:19.339920+00:00,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,93,ok,e01879848600b4b846c09c3012e7ecc07329b9a13433e8e8ca7b00604f9da944,,
2,mindfulness_anxiety,europepmc,e10e290055882b5fffe11750d8bdb232b82cf2e142071e6086a0140c40ab1941,source_specific_query,2026-09-19T14:06:22.629666+00:00,https://www.ebi.ac.uk/europepmc/webservices/rest/search,2977,ok,e4995ae8ee955392930fa901433838d3d1571d4c171f228e3e01b126c447bbae,,
3,glp1_cardiovascular,openalex,4f19708d26ee70dffdddfd16ba7206874566bba388262641037afa82e84379d7,source_specific_query,2026-09-19T14:06:26.115306+00:00,https://api.openalex.org/works,26754,ok,7807c3de863b81044f7c02214c68b1cba65f63d32b5caf1c57917c53b9ab54b9,,
4,ai_radiology_diagnosis,openalex,53e1f668d3ce89440e0384cbfbd8ae24b541e03a0afdd24e6ab4ff78d4a12f55,source_specific_query,2026-09-19T14:06:31.877884+00:00,https://api.openalex.org/works,343519,ok,0c9366d40df9cb02e4298e776aff27d45c864c81d7f66e42c69ce6ad8571a2d3,,
5,cash_transfers_education,openalex,0c041281fdc2e67168ead9573904e2b39df8b95902056f61238f0d72e1a694b9,source_specific_query,2026-09-19T14:06:36.997596+00:00,https://api.openalex.org/works,16632,ok,0335e19b5fdad290b291f154969c2347c7704a2ddadfa321590b30128e5b9ecb,,
6,social_media_mental_health,openalex,f965d1bf0d412f35feb3067c55d755a1b11e6895c71539e3e419e705edf03d20,source_specific_query,2026-09-19T14:06:40.572630+00:00,https://api.openalex.org/works,286895,ok,2f5dc19a32b9a6cb3d5531431d978195a0fafe3dc2076e6311fef6873a226a97,,
7,restorative_justice_recidivism,core,bcf9c8f6e4809be570dbafac45e4af5e68644c7ab9c404635e30df0447aba9a5,source_specific_query,2026-09-19T14:06:45.419636+00:00,https://api.core.ac.uk/v3/search/works,,not_queried_missing_api_key,,,
8,gender_pay_gap,openalex,1c94457a97d900fcb4133bc5ac4415f0d60ffaadca011f300beefb56b7278442,source_specific_query,2026-09-19T14:06:45.419657+00:00,https://api.openalex.org/works,18611,ok,3f5dd42a6958793ee5500c27ea4408ebeb997266efaa3f0109bfbe5c6901125c,,
9,intelligent_tutoring_scores,openalex,90ad1be0452212235ccbb55781732aa9d081455e3f0568999de00aa8e1491747,source_specific_query,2026-09-19T14:06:48.676226+00:00,https://api.openalex.org/works,298665,ok,f43e35ebd6e26deee1e553225b66af101cae8a75b4dd77d8097e4ea485057095,,
10,game_based_learning_motivation,semanticscholar,4d87c111993104379a37bb05ece49e29c3b882276dbc3971a7aafcaf1d4df0da,free_text_keywords,2026-09-19T14:06:53.053439+00:00,,,request_failed,,HTTPError,HTTP Error 429:
11,class_size_achievement,openalex,15f2d369be5c88076de2a36851a38e129aa2cbf449eef0c462d1810968aa51b5,source_specific_query,2026-09-19T14:07:09.664297+00:00,https://api.openalex.org/works,36333,ok,f76abfcd141796be9377877852c9ac8971dc5b851163d5baee0a036e08d4754b,,
