ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
40738631,10.1136/bmjopen-2025-099358,"Are minimum nurse-to-patient staffing ratios needed in hospitals? An observational study in British Columbia, Canada.",2025.0,"Lasater KB, Brom H, Aiken LH, McHugh MD.",,"<h4>Objective</h4>To evaluate staffing conditions, patient outcomes, quality of care, patient safety and nurse job outcomes in British Columbia (BC), Canada hospitals.<h4>Design</h4>Cross-sectional study of 58 hospitals in BC with surveys of nurses and independent measures of patient outcomes.<h4>Setting</h4>58 hospitals in BC.<h4>Participants</h4>6685 hospital-based nurses working in a direct patient care role.<h4>Exposures</h4>Hospital-wide and unit-specific patient-to-nurse staffing ratios derived from registered nurse reports of how many patients and how many nurses were on their unit during their last shift worked.<h4>Main outcomes and measures</h4>Objective patient outcome measures included the Hospital Standardized Mortality Ratio (HSMR) and 30-day Readmission Rate, from 2022 to 2023 Canadian Institute for Health Information data. Nurses4All@BC provided data from 2024 using validated items on multiple measures (eg, nurse burnout, missed health breaks, intentions to leave, quality and safety measures such as culture of patient safety, quality of nursing care, missed nursing care).<h4>Results</h4>Burnout (59.4%), missed health breaks (41.7%), job dissatisfaction (36.0%), intentions to leave (19.3%) and patient outcomes (HSMR mean 95.4, median 96.0, range 26-180; readmission rate mean 10.0%, median 9.5%, range 7.9%-13.8%) were high and varied across hospitals. 68.3% of nurses reported there were not enough staff, and 77.3% reported their workloads were unsafe for patients. 60.6% of nurses gave their hospital an unfavourable patient safety rating. More patients per nurse were associated with poorer hospital mortality and readmission rates, poorer job outcomes for nurses, more adverse events for patients, less favourable ratings of quality of care and patient safety, more missed nursing care and poorer ratings of staffing adequacy and management.<h4>Conclusions</h4>Given the variability in staffing, quality and patient outcomes across BC hospitals, the implementation of a minimum nurse-to-patient ratio policy has the potential to improve patient care safety and retention of nurses.",0,,0.917,Include,Include,Matches 11 inclusion term(s).
41312228,10.1155/jonm/8885593,Relationship Between the Nurse-Patient Ratio and Adverse Events in Conventional Hospitalization Units in a Third-Level Hospital.,2025.0,"Fernández-Sánchez JD, Andrés-Pretel F, Ortiz-Diaz V, Molina-Alarcón M, Lozano-Hernández CM.",,"Nurse staffing in hospital inpatient units varies by country and region, highlighting the need for more equitable, evidence-based planning to measure workload based on complexity, thus enabling appropriate staffing in these units. The objective of this study is to determine the relationship between the nurse-to-patient ratio and the incidence of adverse events in adult conventional inpatient units. A descriptive, cross-sectional observational study with an analytical approach was conducted to calculate the relationship between the nurse-to-patient ratio and adverse events in conventional inpatient units at a tertiary care hospital, the Albacete University Hospital Complex (CHUA), from 2018 to 2023, analyzing a total of 113,117 patients. The 24-h median nurse-to-patient ratio was slightly higher in surgical units (11.35) than in medical units (10.79). Spearman's correlation analysis identified significant relationships (rho > 0.4) between the 24-h nurse-to-patient ratio and events such as hospital-acquired pressure injuries (HAPIs), community-acquired pressure injuries, and mortality. However, the multiple linear regression analysis focused on HAPI as the dependent variable, excluding mortality due to its multifactorial nature and community-acquired injuries as they predated admission. The linear regression results showed that for every one-point increase in the 24-h nurse-to-patient ratio, the probability of HAPI increased by 1.94%. Additionally, the probability of HAPI decreased by 2.63% in surgical units compared with medical units. When analyzing the units separately, the relationship was more pronounced in medical units: a one-point increase in the 24-h ratio was associated with a 2.81% increase in the likelihood of HAPI. In surgical units, the 24-h ratio did not show a significant relationship with HAPI, with the patient turnover index being the relevant predictor. The findings confirm that the operational nurse-patient ratios in Spain position the system in a state of room for improvement regarding safety and economic efficiency. The differences observed between medical and surgical units underscore the necessity for staffing policies not to be uniform but rather to become dynamic and contextualized to optimize clinical outcomes and resource management.",0,,0.917,Include,Include,Matches 11 inclusion term(s).
42060836,10.1097/mlr.0000000000002332,Safe Minimum Nurse Staffing Requirements for Hospitals: Evidence From Pennsylvania.,2026.0,"Muir KJ, Aiken LH, Brom H, Hovsepian V, Lasater KB, McHugh MD.",,"<h4>Background</h4>The Pennsylvania legislature is considering limiting the number of patients nurses care for to promote safe care.<h4>Objective</h4>To determine whether variation in nurse workloads is associated with adverse consequences for patients, nurses, and hospital costs in Pennsylvania.<h4>Methods</h4>Observational study of 547,689 medical and surgical patients and 2782 direct care nurses in 132 Pennsylvania hospitals. The independent variable was medical-surgical nurse staffing ratios. Patient outcomes included 30-day mortality, 30-day readmissions, and length of stay. Nurse outcomes included burnout, job dissatisfaction, intent to leave, and evaluations of hospital management and patient care. Hospital outcomes were HCAHPS Star Ratings and cost offsets associated with better staffing.<h4>Results</h4>Hospital nurse staffing ranged from 3 to 9 patients per nurse (average 5.9). Each additional patient per nurse was associated with higher odds of 30-day mortality (AOR: 1.08, 95% CI: 1.03, 1.13, P <0.001), longer length of stay (IRR: 1.02, 95% CI: 1.00, 1.04, P <0.05) and higher odds of readmission (AOR: 1.04, 95% CI: 1.01, 1.07, P <0.05). Worse staffing was associated with higher odds of nurse burnout, job dissatisfaction, and intent to leave, and lower patient satisfaction. Cost savings from patient outcomes and nurse retention were projected to offset costs of additional nurses needed for hospitals to meet a minimum safe nurse staffing level proposed in legislation.<h4>Conclusions</h4>Large differences across Pennsylvania hospitals in the amount of nursing care patients receive are associated with negative consequences. A state policy establishing minimum safe nurse staffing requirements in hospitals is in the public's interest.",0,,0.833,Include,Include,Matches 10 inclusion term(s).
40622683,10.3310/zbar9152,"Consequences, costs and cost-effectiveness of workforce configurations in English acute hospitals.",2025.0,"Griffiths P, Saville C, Ball J, Culliford D, Jones J, Lambert F, Meredith P, Rubbo B, Turner L, Dall'Ora C.",,"<h4>Background</h4>The National Health Service faces significant challenges in recruiting and retaining registered nurses. Recruiting unregistered staff is often adopted as a solution to the registered nurse shortage, but recent research found lower registered nurse staffing levels increase hospital mortality with no evidence that higher levels of assistant staff reduced risk.<h4>Objectives</h4>To estimate the consequences, costs and cost-effectiveness of variation in the size and composition of the staff on acute hospital wards in England. To determine if results are likely to be sensitive to staff groups such as doctors and therapists, who are not on ward rosters, associations between staffing and outcomes for multiple staff groups, including medical, are explored at hospital level.<h4>Design</h4>A national cross-sectional panel study and a patient-level longitudinal observational study using routine data.<h4>Setting</h4>All English acute hospital Trusts and a subsample of four Trusts for the patient-level study.<h4>Interventions</h4>Naturally occurring variation in the size and composition of the workforce.<h4>Participants</h4>Patients experiencing a hospital admission with an overnight stay and nursing staff providing care on inpatient wards.<h4>Outcomes</h4>Death, patient and staff experience, length of stay, re-admission, adverse events, incidents (Datix), staff sickness, costs and quality-adjusted life-years.<h4>Data sources</h4>Publicly available records of hospital activity, staffing and outcomes (cross-sectional study) and hospital administrative systems (longitudinal study).<h4>Results</h4>In the cross-sectional study, lower staffing levels from doctors and allied health professionals were associated with increased risk of death. Higher nurse staffing levels were associated with better patient experience and staff well-being. In the longitudinal study, for adult inpatients, exposure to days with lower-than-expected registered nurses or nursing assistant staff was associated with increased hazard of death (adjusted hazard ratio 1.08/1.07, 95% confidence interval 1.07 to 1.09/1.06 to 1.08) and longer hospital stays. Low registered nurse staffing was also associated with increased hazard of re-admission (adjusted hazard ratio 1.01, 95% confidence interval 1.01 to 1.02). Eliminating low staffing cost £2778 per quality-adjusted life-years gained. Avoidance of registered nurse understaffing gave more benefits and was more cost-effective for highly acute patients. Although high bank or agency staffing was associated with increased hazard of death, avoiding low staffing using temporary staff still reduced mortality but was more costly and less effective than using permanent staff. If costs of avoided hospital stays are included, avoiding low staffing generates a net cost saving. Exploration of thresholds for low staffing indicated a greater beneficial effect from registered nurse staffing higher than current norms.<h4>Limitations</h4>This is an observational study. Causal inferences cannot be made from these results in isolation. Quality-adjusted life-years gains were estimated, although conclusions are not sensitive to assumptions or discount rates. We used current ward norms as reference for low staffing.<h4>Conclusions</h4>Our results show the adverse effects of low nurse staffing but also show that medical and allied health professional staffing are important considerations for patient safety. Eliminating low registered nurse staffing gave more benefits than eliminating assistant staffing.<h4>Future work</h4>Research is needed to validate methods to determine nurse staffing requirements, and the interaction between registered nurse and assistant staffing needs further exploration.<h4>Study registration</h4>This study is registered as Current Controlled Trials ClinicalTrials.gov NCT04374812.<h4>Funding</h4>This award was funded by the National Institute for Health and Care Research (NIHR) Health and Social Care Delivery Research programme (NIHR award ref: NIHR128056) and is published in full in <i>Health and Social Care Delivery Research</i>; Vol. 13, No. 25. See the NIHR Funding and Awards website for further award information.",1,,0.833,Include,Include,Matches 10 inclusion term(s).
40443057,10.1111/nicc.70054,The Impact of Nurse-Patient Ratios on Patient Outcomes in Intensive Care Units.,2025.0,Elmdni AAE.,,"<h4>Background</h4>Intensive care units (ICUs) are complex and fast-paced environments where nurse-to-patient ratios significantly influence patient outcomes. Existing research highlights the relationship between staffing levels and outcomes such as mortality, hospital-acquired infections, length of ICU stays, patient safety incidents, and nurse job satisfaction.<h4>Aim</h4>This systematic review aims to evaluate the impact of nurse-to-patient ratios on patient outcomes and nurse well-being in ICUs, providing evidence to guide staffing policies.<h4>Study design</h4>A systematic review of 20 studies conducted across various locations was undertaken. The review includes retrospective cohort studies, cross-sectional designs, and other methodologies. The studies were analysed to determine the influence of staffing levels on patient and nurse outcomes.<h4>Results</h4>Safe nurse staffing levels were associated with a 14% reduction in hospital mortality, shorter ICU stays, a 20% improvement in infection prevention, and an average ICU stay reduction of 1.5 days. Enhanced patient satisfaction by 18% in units with adequate staffing. Conversely, lower staffing ratios were linked to a 25% increase in adverse events, nurse fatigue, and diminished patient safety outcomes. The findings underscore the necessity of adequate staffing strategies and the adoption of workforce technologies to enhance care quality in ICUs.<h4>Conclusions</h4>This review highlights the critical role of nurse-to-patient ratios in improving patient outcomes and nurse well-being in ICUs. Future research should focus on standardizing methodologies to evaluate staffing strategies and exploring their long-term impacts on both patient and nurse outcomes.<h4>Relevance to clinical practice</h4>These findings emphasize the importance of implementing evidence-based staffing policies and integrating supportive technologies to ensure optimal care delivery and staff satisfaction in ICUs.",2,,0.75,Include,Include,Matches 9 inclusion term(s).
42051835,10.7759/cureus.106021,"Patient Safety Culture and Its Work-Related Predictors Among Hemodialysis Nurses in Jeddah, Saudi Arabia: A Multicentre Cross-Sectional Study Using the Hospital Survey on Patient Safety Culture.",2026.0,"Barnawi N, Said FM.",,"Background Patient safety culture is a critical determinant of healthcare quality, particularly in high-risk environments such as hemodialysis units, where complex procedures, advanced technology, and vulnerable patient populations increase the likelihood of adverse events. Despite global emphasis on patient safety, evidence regarding safety culture in hemodialysis settings within Saudi Arabia remains limited. This study aimed to assess patient safety culture and identify its work-related predictors among hemodialysis nurses in Jeddah, Saudi Arabia, using the Hospital Survey on Patient Safety Culture (HSOPSC). Methods A multicentre cross-sectional study was conducted among 400 nurses working in renal dialysis units across four hospitals in Jeddah. A convenience sampling technique was employed. Data were collected using a structured questionnaire comprising sociodemographic and work-related variables and the HSOPSC tool, which evaluates 12 dimensions of patient safety culture. Descriptive statistics were used to summarise participant characteristics and safety culture dimensions. Multivariable logistic regression analysis was performed to identify predictors of overall patient safety culture, with statistical significance set at p < 0.05. Results The overall patient safety culture score was moderate (mean = 3.29 ± 0.74). The highest-rated dimensions were management support for patient safety (mean = 3.37) and organisational learning/continuous improvement (mean = 3.36), while frequency of events reported scored the lowest (mean = 3.20). Most respondents rated patient safety as ""very good"" (n = 150, 37.5%) or ""excellent"" (n = 79, 19.8%), although 38.3% (n = 153) reported no safety events in the preceding 12 months. Significant predictors of higher patient safety culture included having 3-5 years of work experience (odds ratio (OR) = 2.32, p = 0.003), working less than 50 hours per week (OR = 1.64, p = 0.016), and reporting fewer or moderate numbers of safety events. Conclusion Patient safety culture among hemodialysis nurses in Jeddah is moderately positive but reveals critical gaps in event reporting and workload-related factors. Work experience, working hours, and organisational context significantly influence safety perceptions. Targeted interventions focusing on strengthening reporting systems, optimising staffing, and reinforcing organisational support are essential to enhance patient safety culture in hemodialysis settings.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
40488662,10.1111/jan.17104,Beyond the Ratios: Evidence for Optimal Minimum Nurse-Patient-Ratios in Medical-Surgical Settings.,2026.0,"Havaei F, Song C, Zou D, Wu AD, MacPhee M, Saewyc E.",,"<h4>Aim</h4>To evaluate the maximum number of patients per nurse before quality and safety outcomes deteriorate in medical-surgical settings.<h4>Design</h4>A secondary analysis of cross-sectional survey data.<h4>Methods</h4>We analysed data from 609 direct care nurses working in British Columbia's medical-surgical areas. The relationship between nurse-to-patient ratios and quality and safety outcomes was analysed using both two-level and one-level regression models, including visualisations such as boxplots and scatterplots with LOESS curves. The analysis controlled for nurse demographics and hospital clustering effects.<h4>Results</h4>Ratios ranged from 1:1 to 1:9, with outliers above 1:9 excluded. For desirable outcomes, last shift quality of care, unit safety grade, and recommending units to friends/family and to colleagues, the means were generally positive for ratios ranging from 1:2 or 1:3 to 1:4 but negative for ratios ranging from 1:5 to 1:8 or 1:9. This pattern was reversed for adverse outcomes, undone tasks and emotional exhaustion; the means were generally negative for ratios between 1:1 and 1:3 to 1:4 but became positive for ratios between 1:5 and 1:6 to 1:8. A turning point (crossing zero) was found between the ratios of 1:4 and 1:5 for all outcomes except patient adverse events, where the turning point was between the ratio of 1:3-1:4.<h4>Conclusion</h4>The findings provide preliminary evidence in support of minimum nurse-to-patient ratios of 1:4 in British Columbia's medical-surgical areas. Policy-makers and decision-makers should augment minimum nurse-to-patient ratios with other nurse-driven tools and nurse-management staffing methods that provide more flexibility to better meet fluctuating environmental, patient and staffing needs.<h4>No patient or public involvement</h4>This study did not include patient or public involvement in its design, conduct, or reporting.<h4>Implications for the profession and/or patient care</h4>Minimum ratios should be complemented by nurse-driven tools and flexible staffing strategies to account for contextual and resource variability.<h4>Impact</h4>This secondary analysis of 2015 survey data from 609 medical-surgical nurses in British Columbia, Canada supported a minimum nurse-to-patient ratio of 1:4 using a series of quality and safety outcomes for patients and nurses. This finding provides important preliminary evidence in support of the specific minimum nurse-to-patient ratios of 1:4 as the province prepares to implement this ratio in medical-surgical settings. Existing staffing models using minimum nurse-to-patient ratios may be augmented by employing additional staffing tools and methodologies that provide more flexible resource allocation.<h4>Reporting method</h4>This study adheres to STROBE guidelines.",1,,0.667,Include,Include,Matches 8 inclusion term(s).
40845827,10.1016/j.ijnurstu.2025.105178,Minimum nurse staffing policy intervention in Queensland Australia improved nurse wellbeing and patient safety: A quasi-experimental intervention study.,2025.0,"Lasater KB, Aiken LH, Douglas C, Windsor C, Yates P, Smith HL, McHugh MD.",,"<h4>Background</h4>Nurse retention and wellbeing have reached alarmingly low levels in recent years and health systems globally are searching for large-scale systemic solutions to reduce nurse burnout, improve wellbeing, and increase job satisfaction and retention while simultaneously enhancing patient care quality and safety.<h4>Objective</h4>To evaluate whether a minimum nurse staffing policy intervention in Queensland Australia improved nurse wellbeing, intentions to leave employment, and patient safety.<h4>Methods</h4>This is a quasi-experimental intervention study in which we compared nurse outcomes, patient safety measures, quality of care indicators, and operational failures among 27 hospitals subject to a minimum nurse staffing policy (i.e. intervention hospitals) and 41 hospitals not subject to the policy (i.e. comparison hospitals) at two points in time: prior to implementation of the policy (i.e. baseline) and two years after implementation (i.e. post-implementation). Percentages of nurses with unfavorable outcomes and unfavorable ratings of quality of care and patient safety are reported for intervention and comparison hospitals at baseline and post-implementation of the staffing policy. Fixed effects logistic regression models evaluated the interaction between the intervention effect and the post-implementation period to report the impact of the staffing policy on outcomes.<h4>Results</h4>The minimum nurse staffing policy intervention was associated with improvements in staffing, nurse wellbeing and job outcomes, and quality of care and patient safety in the intervention hospitals. Nurses in intervention hospitals had 24 % lower odds of high burnout (OR 0.76, 95 % CI 0.61-0.94, p < 0.05) and 27 % lower odds of job dissatisfaction (OR 0.73, 95 % CI 0.59-0.91, p < 0.01) at post-implementation relative to the baseline; no statistically significant differences in these outcomes were found among comparison hospitals. Job dissatisfaction with workload, professional development, autonomy at work, and work schedule all declined significantly in intervention hospitals and worsened over time in comparison hospitals. Nurse work environment scores improved in the intervention hospitals and worsened in the comparison hospitals. Quality of care, patient safety, and operational failures markedly improved in the intervention hospitals and generally worsened in the comparison hospitals.<h4>Conclusions</h4>The quasi-experimental study design gives policymakers and hospital administrators strong confidence that minimum nurse staffing policy interventions can result in more favorable work environments for nurses, better job outcomes including lower nurse burnout and job dissatisfaction, and improvements in quality of care and safety for patients.",3,,0.667,Include,Include,Matches 8 inclusion term(s).
41551854,10.1016/j.ijnsa.2025.100471,Nurse staffing skill mix and acuity-adjusted provision ratios in Swedish neonatal care: A cohort benchmark study.,2026.0,"Dillner P, Göransson KE, Norman M, Unbeck M, Förberg U.",,"<h4>Background</h4>The development of neonatal intensive care has substantially reduced infant mortality, still, infants remain at high risk for adverse outcomes. Safe care relies on adequate nurse staffing and an appropriate skill mix, which is especially important in neonatal intensive care as infants are extremely vulnerable to harm when quality lapses occur. Although international guidelines recommend optimal nurse-to-patient ratios for neonatal care, these standards have not been fully implemented, leaving it unclear whether current staffing levels align with recommendations for safe staffing.<h4>Objective</h4>To benchmark the acuity-adjusted registered nurse staffing provision ratio in neonatal intensive care and determine the skill mix distribution and variation of nursing staff across shifts.<h4>Method</h4>This retrospective cohort study included infant data from a 16-week period in 2022 in three neonatal intensive care units with a common administration at a university hospital. Data were obtained from the hospital's data repository and the Swedish Neonatal Quality Register, including 609 neonatal admissions and 345 nursing staff members working 1008 shifts. Infants' daily acuity levels were assessed using an adapted version of the British Association of Perinatal Medicine's guideline, classifying infants into three levels: intensive care, high dependency care, and special care. Staffing provision was measured as the number of worked hours per shift, staff category, and unit. The registered nurse provision ratio was defined as the number of registered nurse hours provided divided by the recommended hours. A ratio below 1.0 indicates understaffing.<h4>Results</h4>The population's total in-hospital days were 4674, and the mean birth weight was 2843 g (SD 1029), with 57.0 % being boys. The proportion of registered nurses relative to nursing assistants ranged from 22.2 % to 85.7 %, with a median of 46.5 %. Registered nurses with specialist education accounted for a median of 73.0 % of total registered nurse hours. Within each unit, the mean acuity-adjusted number of registered nurses recommended by the British Association of Perinatal Medicine's standard was relatively consistent across shift types and between weekdays and weekends. However, the required number of registered nurses between individual shifts showed considerable variation, ranging from 2.5 to 10.3. During the inclusion period, 81.2 % of the shifts had a registered nurse provision ratio below 1.0, suggesting that most shifts did not meet the recommendations for staffing levels.<h4>Conclusions</h4>This study highlights a shortfall in registered nurse staffing relative to recommended levels. Ensuring adequate registered nurse staffing levels is crucial for maintaining high-quality neonatal care and improving infant outcomes.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
42050849,10.1155/jonm/4282547,Effect of Nurses' Working Conditions Improvement Policy on Patient Outcomes in General Hospitals: A Quasiexperimental Study Using National Health Insurance Claims Data From Korea.,2026.0,"Yoon HJ, Kwon H.",,"<h4>Background</h4>A good nursing work environment is a key determinant of patient safety. In 2018, the Korean government introduced the Nurse Working Conditions Improvement Policy (NWCIP), accompanied by a revision of the nurse staffing grade calculation method. Under this policy, hospitals with revenue growth due to upward adjustments in nurse staffing grade were recommended to allocate revenue growth for improving nurses' working conditions.<h4>Objective</h4>To evaluate whether funding under the NWCIP, aimed at improving nurses' working conditions, is associated with changes in patient outcomes.<h4>Methods</h4>A quasiexperimental study was conducted using National Health Insurance claims data from 198,318 adult inpatients across 99 general hospitals. After confirming the parallel trends assumption, a difference-in-differences approach was used to evaluate the policy's effect. Patient outcomes were compared between the first quarters of 2018 (baseline) and 2019 (postimplementation). Hospitals were categorized into an intervention group (those that received nurses' working conditions improvement fund) and a comparison group (those that did not). Outcomes included in-hospital mortality, 7-day readmission, and length of stay. Among the 99 hospitals, 60 were assigned to the intervention group and 39 to the comparison group.<h4>Results</h4>According to difference-in-differences analysis, the intervention group showed a 19% increase in 7-day readmission (adjusted odds ratio = 1.19; 95% confidence interval: 1.09-1.29; p < 0.001) and a 5% decrease in length of stay (adjusted incidence rate ratio = 0.95; 95% confidence interval: 0.92-0.97; p < 0.001), with no significant change in in-hospital mortality.<h4>Conclusions</h4>General hospitals subject to the NWCIP did not show improved patient outcomes: They had a higher risk of readmission despite a shorter length of stay.<h4>Implications for nursing management</h4>The use of revenue growth to improve nurses' working conditions should be mandated rather than recommended, prioritizing high-impact staffing investments, such as hiring additional nurses, most directly linked to patient outcomes.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
