case_id,slug,has_estimate_and_ci_schema,numeric_estimate_ci_rows,conservative_complete_rows_from_case_review,structural_eligibility,common_estimand_candidate,independent_study_count_status,recommended_role,final_gate_status,currently_eligible_for_meta_analysis,blocking_issue_count,reasoning
1,nurse_staffing_mortality,true,2,2,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 1 defines categorical study design, country, population, intervention, comparison, and outcome plus numeric sample_size, effect_size, ci_lower, and ci_upper; it does not define effect-measure type, standard error, outcome time point, adjustment set, or study/report linkage. Conservatively counting only archived non-null columns yields 9 rows with sample size, 3 with an effect size, 2 with both confidence limits, and exactly 2 complete effect rows. The apparent mortality-related rows and other retained records span adverse events, pressure injuries, composite patient outcomes, pneumonia, readmission, and mortality, while staffing contrasts also differ. Since neither of the two complete estimates can be tied to a defined common effect measure and one is attached to a composite outcome label, a defensible common estimand cannot be specified from this archive. Even a favorable later adjudication could not make the currently complete effect-row structure meet the required minimum of five independent studies without new/re-extracted information; the case is therefore structurally ineligible rather than merely awaiting human verification."
2,mindfulness_anxiety,true,16,15,unlikely_candidate,Possible only after source-level reconstruction: a post-intervention standardized mean difference in anxiety-symptom severity for a defined mindfulness-based intervention versus a prespecified inactive/usual-care comparator among people with diagnosed anxiety disorders.,not_identifiable,descriptive_only,pending_human_verification,false,6,"Case 2 is best treated as an evidence-mapping/descriptive case at present. The configuration defines sample_size, effect_size, ci_lower, and ci_upper as potentially synthesis-critical numeric fields, but the archived file supplies no field definition that distinguishes SMD, mean difference, odds/risk ratio, or other measures. I counted a complete effect row conservatively as having finite archived sample size, estimate, and both bounds with lower <= estimate <= upper: 15/72 (although 16/72 are non-null in all four numeric columns before excluding the invalid interval). Titles/DOIs establish report-level identity but not underlying-study linkage. A narrow anxiety-symptom SMD estimand is conceptually plausible after source review, but it is not defensible from this archive and the number of independent eligible studies cannot be identified, let alone shown to meet the 5-study synthesis or 10-study primary-propagation thresholds. The absence of human verification makes the frozen gate pending rather than structurally ineligible regardless."
3,glp1_cardiovascular,true,319,270,possible_candidate,"Hazard ratio for time to first 3-component major adverse cardiovascular event for a single GLP-1 receptor agonist versus placebo/usual care in randomized cardiovascular-outcome trials among adults with type 2 diabetes, using one prespecified primary-trial estimate per underlying study.",not_identifiable,sensitivity_candidate_after_verification,pending_human_verification,false,5,"The immutable Case 3 archive contains 841 report rows. From archived—not evaluator—columns, 270 rows conservatively have parseable positive sample_size, hazard_ratio, ci_lower, and ci_upper with ci_lower <= hazard_ratio <= ci_upper; only 262 of these also have non-null drug and outcome. This is numeric completeness only, not confirmation that the reported quantity is a valid HR for a shared contrast. The archive nominally supports a narrow 3-point-MACE RCT estimand: 64 conservatively complete rows contain ‘MACE’ and 14 contain ‘major adverse cardiovascular’, but these are reports rather than identifiable independent studies and include reviews, meta-analyses, post-hoc analyses, different MACE definitions, different interventions/comparators, and likely overlapping trial populations. Exact DOI duplicates are absent among the 262 fully described numeric rows, but that does not resolve multiple reports of the same underlying study. Thus a defensible common estimand might be constructed only after human source verification, prespecified eligibility/estimate selection, report-to-study linkage, and dependence handling; the archive cannot establish either the >=5-study synthesis threshold or the >=10-study primary-propagation threshold. LLM extractions and historical judge fields were not treated as truth."
4,ai_radiology_diagnosis,false,0,338,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"The extract has 2,444 rows. Archived non-null counts are 1,321 for sensitivity, 1,032 for specificity, 891 for AUC, and 1,470 for sample size; conservatively requiring all four declared synthesis-critical columns to be numeric and non-null yields 338 complete effect rows (not 699 rows with only sensitivity, specificity, and sample size). This numerical abundance does not establish eligible independent diagnostic-accuracy studies or a common estimand. The missing target/reference-standard/threshold and variance-defining data, unstandardized scales, broad clinical and non-clinical task heterogeneity, and unresolvable report/dependence structure mean that no defensible common estimand exists for this archived case as a whole. Thus it cannot meet the frozen common-estimand, independence, or dependence-handling requirements regardless of later verification of the existing values; a future narrowly scoped diagnostic-test-accuracy review would require a new, human-verified source-level dataset rather than pooling these rows."
5,cash_transfers_education,true,16,14,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 5 is structurally ineligible regardless of later human verification because the archived data cannot support a prespecified common estimand: effect measure and key estimand-defining metadata are absent, while the complete records are outcome- and scale-heterogeneous. The archived file contains 74 non-null sample sizes, 91 non-null effect sizes, and 17 non-null values in each CI-bound column; requiring all four declared synthesis-critical numeric fields yields 14 complete rows. Although their intervals are numerically ordered, that arithmetic check does not identify what the effects measure. Multiple-report/dependence signals and lack of study linkage prevent an independent-study count or defensible primary estimate selection. This conclusion does not rely on the LLM extraction values or evaluator verdicts as truth."
6,social_media_mental_health,true,72,63,unlikely_candidate,,not_identifiable,descriptive_only,pending_human_verification,false,5,"Case 6 is structurally unsuitable for synthesis on the present archive, although it is not ineligible regardless of future source review: a human re-extraction and report-linkage exercise might identify a narrow, homogeneous subset. The current broad case question has no defensible archived common estimand because effect measure and essential exposure/outcome definitions are absent, while the numeric values show incompatible apparent scales (effect_size -25.6 to 51.9). The conservative count of 63 internally ordered, fully populated critical rows is a report-row count, not an independent-study count. It cannot demonstrate the frozen minima of five independent studies for any synthesis or ten for primary propagation analysis; human verification and documented dependence handling would also be required before reconsideration."
7,restorative_justice_recidivism,false,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 7 has 77 archived records and the configured potentially synthesis-critical numeric fields are sample_size, recidivism_rate_treatment, and recidivism_rate_control (with follow_up_months classified as other numeric). This is not an effect-and-uncertainty schema. Although paired percentages could in principle be transformed to a risk ratio or risk difference, the archive does not identify a defensible shared outcome, comparator, time point, effect scale, or sampling variance, and cannot recover them from the supplied total N. Thus a common estimand is not defensibly specified from the archived data, zero complete effect rows fall below the five-independent-study minimum (and the ten-study primary-propagation minimum), and report dependence cannot be handled. The case is structurally ineligible regardless of the currently unavailable human verification."
8,gender_pay_gap,false,0,7,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 8 defines only two potentially synthesis-critical numeric fields, gap_percent and sample_size. Of 308 archived report rows, 42 contain a numeric gap_percent, 28 contain a numeric sample_size, and only 7 contain both; this is the reported complete-effect-row count, conservatively based solely on non-null numeric archived values. It does not mean the rows are synthesis-ready: no archived SE, CI, or effect-specific derivation inputs exist. The point estimates are materially heterogeneous in outcome and construction, including adjusted versus unadjusted/unexplained measures and non-wage constructs, and the metadata cannot resolve a common female-versus-male wage-gap estimand. Report dependence is already visible in the two versioned Europe records with identical values, while study-level linkage and handling of repeated outcomes/subgroups/timepoints are absent. Human verification is also unavailable, but the absent common estimand, precision information, and dependence framework make the case structurally ineligible regardless of that pending verification."
9,intelligent_tutoring_scores,true,6,6,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 9's declared critical fields are `sample_size`, `effect_size`, `ci_lower`, and `ci_upper`. Conservatively requiring finite non-null values in all four archived columns yields exactly 6 complete effect rows. These do not form an analyzable set of six independent primary ITS studies: four are explicitly secondary meta-analytic reports, and the remaining complete primary reports are not a coherent ITS outcome/comparator set. Moreover, the archive provides neither a labelled effect metric nor the data needed to convert raw/unknown estimates to a common standardized estimand. Although reports have unique titles/DOIs, underlying-study independence is not identifiable and no dependence-selection plan is documented. Therefore the frozen gate fails structurally irrespective of later human verification; verification remains necessary for any future re-extraction, but cannot cure the present lack of a common estimand and minimum independent-study count."
10,game_based_learning_motivation,true,4,4,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 10 contains 354 archived report records. Its declared numeric synthesis fields are sample_size, effect_size, ci_lower, and ci_upper: 203, 32, 4, and 4 values are non-null, respectively. Counting an effect estimate conservatively as requiring an archived estimate and both bounds gives four complete effect rows; all intervals are internally ordered, but that is only a conformance check, not evidence that the values are correct or share a measure. The four rows are archived secondary meta-analysis reports and cannot supply four independent primary-study effects; three also contain sample size. The broad protocol scope (game-based learning or gamification and motivation or engagement) and the archived outcome values extend well beyond a single construct, while effect metrics and comparators are unspecified. No defensible common estimand, independent-study count, or dependence plan can be established from these records. Human verification is additionally absent, but the lack of a recoverable common estimand and independent primary-effect set makes the case structurally ineligible regardless."
