case_id,slug,db,raw,after_dedup,abstract_coverage
1,nurse_staffing_mortality,pubmed,90,90,1.0
2,mindfulness_anxiety,europepmc,2803,2803,0.9262
3,glp1_cardiovascular,openalex,6000,5945,0.9995
4,ai_radiology_diagnosis,openalex,9929,9929,0.9998
5,cash_transfers_education,openalex,4600,4447,0.9991
6,social_media_mental_health,openalex,3968,3968,0.9997
7,restorative_justice_recidivism,core,4102,4102,0.9766
8,gender_pay_gap,openalex,8000,7708,0.9968
9,intelligent_tutoring_scores,openalex,3962,3962,0.9997
10,game_based_learning_motivation,semanticscholar,993,993,0.7372
11,class_size_achievement,openalex,5000,4923,0.9994
12,llm_higher_education,core,8633,8633,0.9789
13,marine_protected_areas,openalex,3929,3929,0.9995
14,reforestation_carbon,openalex,3960,3960,1.0
15,indoor_air_pollution_health,openalex,6000,5888,0.999
16,microplastics_freshwater,europepmc,7061,7061,0.9707
17,llm_reasoning_benchmarks,semanticscholar,999,999,0.967
18,federated_learning_privacy,openalex,4886,4886,1.0
19,ai_ethics_autonomous_systems,semanticscholar,377,375,0.8667
20,deep_learning_predictive_maintenance,openalex,10000,9921,0.9998
