case_id,slug,domain,source,query_semantics,configured_max_records,historical_pre_dedup_rows_reported,historical_post_dedup_rows,duplicates_removed_reported,deduplication_rate,configured_limit_reached,historical_completeness_status,current_source_reported_hits,current_count_status,current_hits_exceed_historical_configured_max,current_to_historical_post_dedup_ratio,title_completeness,abstract_completeness,doi_completeness,doi_validity_among_all_rows,year_completeness,year_validity_among_all_rows,source_completeness,case_id_completeness,language_status,source_record_id_status,duplicate_doi_rows_in_retained_file,duplicate_title_rows_in_retained_file,deduplication_accuracy_status
1,nurse_staffing_mortality,Health and Clinical,pubmed,source_specific_query,5000,90,90,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,93,ok,false,1.0333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
2,mindfulness_anxiety,Health and Clinical,europepmc,source_specific_query,4000,2803,2803,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,2977,ok,false,1.0620763467713163,1.0,0.9261505529789511,0.9557616839100963,0.9557616839100963,0.9996432393863718,0.9996432393863718,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
3,glp1_cardiovascular,Health and Clinical,openalex,source_specific_query,6000,6000,5945,55,0.009166666666666667,true,configured_limit_reached,26754,ok,true,4.500252312867956,1.0,1.0,0.9959629941126997,0.9959629941126997,1.0,1.0,1.0,1.0,not_collected,not_collected,0,1,not_yet_human_audited
4,ai_radiology_diagnosis,Health and Clinical,openalex,source_specific_query,10000,9929,9929,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,343519,ok,true,34.59754255212005,0.999899284922953,1.0,0.9973814079967771,0.9973814079967771,0.999798569845906,0.999798569845906,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
5,cash_transfers_education,Social and Behavioral,openalex,source_specific_query,4500,4600,4447,153,0.03326086956521739,true,configured_limit_reached,16632,ok,true,3.7400494715538564,0.9997751293006522,1.0,0.884866201933888,0.884866201933888,0.9970766809084777,0.9970766809084777,1.0,1.0,not_collected,not_collected,0,1,not_yet_human_audited
6,social_media_mental_health,Social and Behavioral,openalex,source_specific_query,4000,3968,3968,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,286895,ok,true,72.30216733870968,1.0,0.9997479838709677,0.9879032258064516,0.9879032258064516,1.0,1.0,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
7,restorative_justice_recidivism,Social and Behavioral,core,source_specific_query,5000,4102,4102,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,,not_queried_missing_api_key,false,,1.0,0.977084349098001,0.3856655290102389,0.3856655290102389,0.9690394929302779,0.9663578742077036,1.0,1.0,not_collected,not_collected,0,10,not_yet_human_audited
8,gender_pay_gap,Social and Behavioral,openalex,source_specific_query,8000,8000,7708,292,0.0365,true,configured_limit_reached,18611,ok,true,2.4145044110015568,0.9998702646600934,1.0,0.7658277114686041,0.7658277114686041,0.994940321743643,0.994940321743643,1.0,1.0,not_collected,not_collected,0,1,not_yet_human_audited
9,intelligent_tutoring_scores,Education and Learning,openalex,source_specific_query,4000,3962,3962,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,298665,ok,true,75.38238263503281,0.9997476022211005,1.0,0.9525492175668854,0.9525492175668854,0.9997476022211005,0.9997476022211005,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
10,game_based_learning_motivation,Education and Learning,semanticscholar,free_text_keywords,4500,993,993,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,,request_failed,false,,1.0,0.7371601208459214,0.904330312185297,0.904330312185297,0.9778449144008057,0.9778449144008057,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
11,class_size_achievement,Education and Learning,openalex,source_specific_query,5000,5000,4923,77,0.0154,true,configured_limit_reached,36333,ok,true,7.380255941499086,0.9997968718261223,1.0,0.7519804996953078,0.7519804996953078,0.9993906154783668,0.9993906154783668,1.0,1.0,not_collected,not_collected,0,1,not_yet_human_audited
12,llm_higher_education,Education and Learning,core,source_specific_query,9000,8633,8633,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,,not_queried_missing_api_key,false,,1.0,0.9842464960037067,0.38966755473184295,0.38966755473184295,0.9170624348430442,0.9170624348430442,1.0,1.0,not_collected,not_collected,0,16,not_yet_human_audited
13,marine_protected_areas,Environmental,openalex,source_specific_query,4000,3929,3929,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,6018,ok,true,1.5316874522779333,0.9997454823110206,0.9997454823110206,0.901247136675999,0.901247136675999,1.0,1.0,1.0,1.0,not_collected,not_collected,0,1,not_yet_human_audited
14,reforestation_carbon,Environmental,openalex,source_specific_query,4000,3960,3960,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,28174,ok,true,7.114646464646465,1.0,1.0,0.9661616161616161,0.9661616161616161,1.0,1.0,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
15,indoor_air_pollution_health,Environmental,openalex,source_specific_query,6000,6000,5888,112,0.018666666666666668,true,configured_limit_reached,13350,ok,true,2.2673233695652173,0.9998301630434783,0.9998301630434783,0.9490489130434783,0.9490489130434783,0.9994904891304348,0.9994904891304348,1.0,1.0,not_collected,not_collected,0,2,not_yet_human_audited
16,microplastics_freshwater,Environmental,europepmc,source_specific_query,8000,7061,7061,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,7598,ok,false,1.0760515507718453,1.0,0.970825662087523,0.9745078600764764,0.9745078600764764,0.9992918850021243,0.9992918850021243,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
17,llm_reasoning_benchmarks,Computer Science and AI,semanticscholar,free_text_keywords,4000,999,999,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,8649,ok,true,8.657657657657658,1.0,0.9669669669669669,0.94994994994995,0.94994994994995,0.996996996996997,0.996996996996997,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
18,federated_learning_privacy,Computer Science and AI,openalex,source_specific_query,5000,4886,4886,0,0.0,false,source_total_not_archived_cannot_confirm_completeness,73073,ok,true,14.955587392550143,1.0,1.0,0.9940646745804339,0.9940646745804339,1.0,1.0,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
19,ai_ethics_autonomous_systems,Computer Science and AI,semanticscholar,free_text_keywords,3000,377,375,2,0.005305039787798408,false,source_total_not_archived_cannot_confirm_completeness,,request_failed,false,,1.0,0.8666666666666667,0.952,0.952,0.96,0.96,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
20,deep_learning_predictive_maintenance,Computer Science and AI,openalex,source_specific_query,10000,10000,9921,79,0.0079,true,configured_limit_reached,80954,ok,true,8.159862917044652,1.0,1.0,0.9762120753956255,0.9762120753956255,0.9998992037093035,0.9998992037093035,1.0,1.0,not_collected,not_collected,0,0,not_yet_human_audited
