ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
https://openalex.org/W7127199393,https://doi.org/10.63544/ijss.v5i1.226,"Echo Chambers, Filter Bubbles, and Selective Exposure: Media Use and Opinion Formation in Polarized Digital Spaces",2026,Majid Hameed; Muhammad Faheem; Durdana; Aqib Hussain,Inverge Journal of Social Sciences,"The proliferation of digital media platforms has fundamentally transformed the ways individuals consume information and form opinions. This study examined the role of echo chambers, filter bubbles, and selective exposure in shaping user perceptions and opinion polarization within online environments. Using a quantitative survey approach, data were collected from 450 active social media users to investigate patterns of content consumption, perceived algorithmic influence, and the relationship between selective exposure and opinion formation. Findings indicated that a significant majority of participants were frequently exposed to ideologically consonant content, demonstrating the prevalence of echo chambers and algorithmically curated filter bubbles. High levels of selective exposure were positively associated with increased opinion polarization, suggesting that repeated engagement with like-minded content reinforced existing beliefs and limited exposure to divergent perspectives. Perceived algorithmic influence varied among users, highlighting the moderating role of human agency in navigating content personalization. The study concluded that both structural mechanisms, such as algorithmic recommendations, and behavioural patterns, such as selective exposure, jointly contributed to ideological reinforcement in digital spaces. Implications for media literacy, platform design, and policy interventions were discussed, emphasizing the importance of fostering informational diversity to mitigate polarization. This research provides empirical evidence on the dynamics of opinion formation in digitally mediated spaces and offers guidance for strategies aimed at promoting inclusive and balanced discourse in online communities. References Ahmed, R., &amp; Thompson, L. (2024). Selective exposure behavior in polarized publics. Journal of Computer-Mediated Communication, 29(3), 260–280. https://doi.org/10.1093/jcmc/zmab042 Ahmmad, M., Shahzad, K., Iqbal, A., &amp; Latif, M. (2025). Trap of social media algorithms: A systematic review of research on filter bubbles, echo chambers, and their impact on youth. Societies, 15(11), 301. https://doi.org/10.3390/soc15110301 Bertino, E., Ferrara, E., &amp; Liu, H. (2025). Polarization in social media. Physica A: Statistical Mechanics and Its Applications, 665, 130487. https://doi.org/10.1016/j.physa.2025.130487 Brown, A., &amp; Green, D. (2025). Echo chambers, social identity, and political discourse online. Political Communication, 42(3), 212–234. https://doi.org/10.1080/10584609.2025.2382123 Chen, S., &amp; Gupta, P. (2025). Algorithmic bias and civic engagement: Evidence from social platforms. Social Science Computer Review, 43(1), 55–74. https://doi.org/10.1177/0894439324912345 Choi, D., Chun, S., Oh, H., Han, J., &amp; Kwon, T. (2020). Rumor propagation is amplified by echo chambers in social media. Scientific Reports, 10, 310. https://doi.org/10.1038/s41598-019-57272-3 Chueca Del Cerro, C. (2024). The power of social networks and social media’s filter bubble in shaping polarization: An agent based model. Applied Network Science, 9, 69. https://doi.org/10.1007/s41109-024-00679-3 Guess, A., Nagler, J., &amp; Tucker, J. (2021). Social media polarization and echo chambers in the context of COVID-19: Case study. JMIRx Med, 2(3), e29570. https://doi.org/10.2196/29570 Hartmann, D., Pohlmann, L., Wang, S. M., &amp; Berendt, B. (2025). A systematic review of echo chamber research: Comparative analysis of conceptualizations, operationalizations, and varying outcomes. Journal of Computational Social Science, 8, 52. https://doi.org/10.1007/s42001-025-00381-z Humphries, J. E., &amp; Eiselt, B. (2025). Platform differences in echo chamber formation: A comparative analysis. New Media &amp; Society. Advance online publication. https://doi.org/10.1177/1461444825102345 Kim, L. (2023). The echo chamber-driven polarization on social media. Journal of Student Research, 12(4). https://doi.org/10.47611/jsr.v12i4.2274 Lee, C., &amp; Park, J. (2024). Selective exposure and political discussion networks on Twitter. Journal of Communication, 74(1), 45–67. https://doi.org/10.1093/joc/jqac045 Li, Y., Cheng, Z., &amp; Gil de Zúñiga, H. (2025). TikTok’s political landscape: Examining echo chambers and political expression dynamics. New Media &amp; Society. Advance online publication. https://doi.org/10.1177/14614448251339755 Lin, Q., Li, H., &amp; Luo, X. (2024). Algorithmic recommendation and opinion extremity in digital networks. *Journal of Computer-Mediated Communication, 29*(2), 210–232. https://doi.org/10.1093/jcmc/zmab089 Liu, N., Robertson, R. E., Green, J., &amp; Nyhan, B. (2025). Short-term exposure to filter-bubble recommendation systems has limited polarization effects: Naturalistic experiments on YouTube. Proceedings of the National Academy of Sciences, 122(8), e2318127122. https://doi.org/10.1073/pnas.2318127122 Lopez, M., &amp; Chen, R. (2024). Algorithmic personalization and cross-cutting exposure on digital platforms. New Media &amp; Society, 26(6), 3070–3092. https://doi.org/10.1177/14614448241099591 Marino, A., &amp; Eckert, S. (2024). Echo chambers and cross-cutting exposure on Facebook and Instagram: A multi-platform comparison. New Media &amp; Society, 26(9), 3560–3583. https://doi.org/10.1177/1461444824123456 Martinez, F., &amp; Nguyen, T. (2025). Opinion formation mechanisms in algorithmic news environments. Communication Theory, 35(1), 75–98. https://doi.org/10.1093/ct/qtaa033 Masip, P., Suau, J., &amp; Ruiz-Caballero, C. (2020). Incidental exposure to non-like-minded news through social media: Opposing voices in echo chambers’ news feeds. Media and Communication, 8(4), 31–46. https://doi.org/10.17645/mac.v8i4.3146 Park, C. S. (2024). Exposure to cross-cutting information on social media and perceived political polarization. Asian Journal for Public Opinion Research, 12(4), 243–266. https://doi.org/10.15206/ajpor.2024.12.4.243 Petrov, V., &amp; Kim, J. (2025). Digital media use and ideological formation: A longitudinal analysis. Journal of Media Psychology, 28(5), 301–320. https://doi.org/10.1027/1864-1105/a000354 Philosophy &amp; Technology. (2024). Filter bubbles and the unfeeling: How AI for social media can foster extremism and polarization. Philosophy &amp; Technology, 37, 71. https://doi.org/10.1007/s13347-024-00758-4 Rafiq-uz-Zaman, M. (2025). Beyond STEM: A Narrative Review of STEAM Education’s Impact on Creativity and Innovation (2020–2025). Inverge Journal of Social Sciences, 4(4), 1–16. https://doi.org/10.63544/ijss.v4i4.175 Rafiq-uz-Zaman, M. (2025). Beyond the Blackboards: Building a Micro-Edtech Economy through Teacher-Led Innovation in Low-Income Schools. Journal of Business Insight and Innovation, 4(1), 46–52. https://doi.org/10.5281/zenodo.16875721 Rafiq-uz-Zaman, M., &amp; Malik, N. (2025). STEAM for the Future: A Comparative Evaluation of Educational Strategies in Pakistan and India. ProScholar Insights, 4(3), 137–147. https://doi.org/10.55737/psi.2025c-43113 Rafiq-uz-Zaman, M., &amp; Nadeem, M. A. (2025). Gauging the gap: Student perceptions of skill proficiency in skill-based education within schools of Punjab, Pakistan. ACADEMIA International Journal for Social Sciences, 4(2), 2307–2317. https://doi.org/10.63056/ACAD.004.03.0553 Rahman, S., &amp; Ali, N. (2024). Homophily and polarization across digital media networks. Information, Communication &amp; Society, 27(4), 455–478. https://doi.org/10.1080/1369118X.2024.2435998 Ruiz, N., &amp; Delgado, P. (2025). Media literacy interventions and breaking filter bubbles: Experimental evidence. Communication Research, 52(8), 987–1009. https://doi.org/10.1177/0093650225106743 Singh, H., &amp; Zhao, Y. (2024). The echo chamber phenomenon in political communication online. Journal of Information Technology &amp; Politics, 21(2), 101–119. https://doi.org/10.1080/19331681.2024.2370056 Smith, J., &amp; Lee, K. (2025). Selective exposure and engagement in polarized social networks. Journal of Communication Research, 49(2), 110–128. https://doi.org/10.1080/10584609.2025.2435998 Tasențe, T. (2025). Understanding the dynamics of filter bubbles in social media communication: A literature review. Vivat Academia, 158, Article e1591. https://doi.org/10.15178/va.2025.158.e1591 Wang, S. M., &amp; Törnberg, P. (2024). Echo chambers in political social networks. Social Networks, 71, 1–14. https://doi.org/10.1016/j.socnet.2024.02.003 Wilson, L., &amp; Carter, T. (2024). Cross-platform media exposure and opinion diversity. Communication Research, 52(7), 1134–1156. https://doi.org/10.1177/0093650224921334 Zhou, Y., &amp; Zafarani, R. (2025). Quantifying polarization and echo chambers in news consumption on social media. Journal of Information Technology &amp; Politics, 22(2), 99–118. https://doi.org/10.1080/19331681.2025.2404532",1,Social media; Filter (signal processing); Perception; Ideology; Digital media,0.683,Include,Include,Matches 10 inclusion term(s).
https://openalex.org/W4221078487,https://doi.org/10.1080/13608746.2022.2047554,Twitter and Affective Polarisation: Following Political Leaders in Spain,2022,Javier Lorenzo Rodríguez; Mariano Torcal,South European Society & Politics,"The present study addresses the effect of the discourse of elites on Twitter on citizens’ affective polarisation through a quasi-experiment that was embedded in a survey panel. Participants were invited to follow one of the Twitter accounts of nine candidates from the main political parties during the 2019 European Parliament electoral campaign in Spain. Experiment compliance among participants was confirmed using web-tracking data (passive metre). The results show that exposure to candidates’ Twitter accounts by self-selection does not increase affective polarisation. Although high levels of polarisation might contribute to building echo chambers, the polarising content contained in the partisan Twitter accounts has no effect on increasing affective polarisation, even among those who strongly identify with such parties. This finding confirms the so-called limited media effect hypothesis for social media.",16,Parliament; Politics; Social media; Political science; Selection (genetic algorithm),0.667,Include,Include,Matches 8 inclusion term(s).
https://openalex.org/W4393445002,https://doi.org/10.56397/jlcs.2024.03.11,Exploring How the Filter Bubble Effect on Twitter Influences Political Polarization and the Mediating Role of Media Literacy,2024,Willard Philips; Emily A. Richardson; Michael Thompson,Journal of Linguistics and Communication Studies,"The advent of social media has significantly reshaped political communication, offering unparalleled opportunities for engagement while also presenting challenges to democratic discourse. One such challenge is the emergence of filter bubbles — personalized information echo chambers created by algorithmic content curation, which have been implicated in increasing political polarization. This study investigates the influence of the filter bubble effect on Twitter on political polarization and examines the potential mediating role of media literacy. Through a mixed-methods approach, combining content analysis of Twitter interactions with survey research on media literacy among Twitter users, the study reveals a significant correlation between exposure to filter bubbles and increased political polarization. However, it also finds that individuals with higher levels of media literacy are less affected by the polarizing effects of filter bubbles. These individuals demonstrate a greater ability to critically evaluate information, seek out diverse sources, and engage in balanced political discussions. The findings underscore the importance of media literacy as a mitigating factor against the divisive impacts of filter bubbles, highlighting its potential to foster a more informed and less polarized public discourse. This study contributes to the understanding of the complex interplay between technology, media literacy, and democracy, offering insights into the challenges and opportunities for combating polarization in the digital age.",5,Polarization (electrochemistry); Politics; Bubble; Literacy; Social media,0.583,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W2769816900,,Echo chamber? What echo chamber? Reviewing the evidence,2017,Axel Bruns,QUT ePrints (Queensland University of Technology),"The success of political movements that appear to be immune to any factual evidence that contradicts their claims – from the Brexiteers to the 'alt‐right', neo‐fascist groups supporting Donald Trump – has reinvigorated claims that social media spaces constitute so‐called 'filter bubbles' or 'echo chambers'. But while such claims may appear intuitively true to politicians and journalists – who have themselves been accused of living in filter bubbles (Bradshaw 2016) –, the evidence that ordinary users experience their everyday social media environments as echo chambers is far more limited. For instance, a 2016 Pew Center study has shown that only 23% of U.S. users on Facebook and 17% on Twitter now say with confidence that most of their contacts' views are similar to their own. 20% have changed their minds about a political or social issue because of interactions on social media (Duggan and Smith 2016). Similarly, large‐scale studies of follower and interaction networks on Twitter (e.g. Bruns et al., 2014) show that national Twitterspheres are often thoroughly interconnected and facilitate the flow of information across boundaries of personal ideology and interest, except for a few especially hardcore partisan communities. Building on new, comprehensive data from a project that maps and tracks interactions between 4 million accounts in the Australian Twittersphere, this paper explores in detail the evidence for the existence of echo chambers in that country. It thereby moves the present debate beyond a merely anecdotal footing, and offers a more reliable assessment of the 'echo chamber' threat.",87,Echo (communications protocol); Social media; Politics; Ideology; Sociology,0.5,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W3207789185,https://doi.org/10.1609/icwsm.v16i1.19343,Perspective-Taking to Reduce Affective Polarization on Social Media,2022,Martin Saveski; Nabeel Gillani; Ann Yuan; Prashanth Vijayaraghavan; Deb Roy,Proceedings of the International AAAI Conference on Web and Social Media,"The intensification of affective polarization worldwide has raised new questions about how social media platforms might be further fracturing an already-divided public sphere. As opposed to ideological polarization, affective polarization is defined less by divergent policy preferences and more by strong negative emotions towards opposing political groups, and thus arguably poses a formidable threat to rational democratic discourse. We explore if prompting perspective-taking on social media platforms can help enhance empathy between opposing groups as a first step towards reducing affective polarization. Specifically, we deploy a randomized field experiment through a browser extension to 1,611 participants on Twitter, which enables participants to randomly replace their feeds with those belonging to accounts whose political views either agree with or diverge from their own. We find that simply exposing participants to ""outgroup"" feeds enhances engagement, but not an understanding of why others hold their political views. On the other hand, framing the experience in familiar, empathic terms by prompting participants to recall a disagreement with a friend does not affect engagement, but does increase their ability to understand opposing views. Our findings illustrate how social media platforms might take simple steps that align with business objectives to reduce affective polarization.",28,Framing (construction); Polarization (electrochemistry); Empathy; Social media; Social psychology,0.5,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W2965327022,,"It’s not the technology, stupid: How the ‘Echo Chamber’ and ‘Filter Bubble’ metaphors have failed us",2019,Axel Bruns,QUT ePrints (Queensland University of Technology),"Following the surprise victories of Brexit and Trump in 2016, even Barack Obama (2017) warned that “it’s become safer to retreat into our own bubbles”, thereby linking increased electoral volatility and polarisation with concepts such as “echo chambers” (Sunstein 2001) and “filter bubbles” (Pariser 2011). The politicians, journalists, and scholars who support these concepts suggest that, with online and social media as the key sources of information for an ever-growing percentage of the public (Newman et al. 2016), echo chambers and filter bubbles are chiefly responsible for the emergence of communities that espouse contrarian and counterfactual perspectives and ideologies, and for their disconnect from the mainstream. Echo chambers are said enable these groups to reinforce their views by connecting with likeminded others; filter bubbles to shield them from encountering contrary perspectives. Such disconnection from and ignorance of alternative perspectives is assumed to result from a combination of individual choice, in selecting the news sources to consult or the social media accounts to follow, and the algorithmic shaping of such choices, as search engines, news portals, and social media platforms highlight and recommend some sources over others. As platform algorithms learn from the users’ choices, and users make those choices predominantly from the options promoted by the algorithms, a self-reinforcing feedback loop gradually curtails choice to an increasingly narrow and homogeneous set of options. Rigorous empirical evidence for the operation of such processes is sorely lacking, however. Building on empirical studies that show no significant evidence of filter bubbles or echo chambers in search (e.g. Haim et al. 2018; Krafft et al. 2018; Nechushtai &amp;amp; Lewis 2018) or social media (e.g. Beam et al. 2018; Bruns, 2017), this paper argues that echo chambers and filter bubbles principally constitute an unfounded moral panic that presents a convenient technological scapegoat (search and social platforms and their affordances and algorithms) for a much more critical, fundamentally human-made problem: growing social and political polarisation. This is a problem that cannot be solved by technological means. Research shows that even – indeed, perhaps especially – the most hyperpartisan users still encounter material that challenges their perspectives, and engage with users who represent opposing views (e.g. Garrett et al. 2013; Weeks et al. 2016). The central question is what they do with such information when they encounter it: do they dismiss it immediately as running counter to their own views? Do they engage in a critical reading, turning it into material to support their own worldview, perhaps as evidence for their own conspiracy theories? Do they respond by offering counter-arguments, by vocally and event violently disagreeing, by making ad hominem attacks, or by knowingly disseminating all-out lies as ‘alternative facts’? More important yet, why do they do so? What is it that has so entrenched and cemented their beliefs that they are no longer open to contestation? This is the debate we need to have: not a proxy argument about the impact of platforms and algorithms, but a meaningful discussion about the complex and compound causes of political and societal polarisation. The ‘echo chamber’ and ‘filter bubble’ concepts have seriously distracted us from that debate, and must now be put to rest.",27,Social media; Filter (signal processing); Counterfactual thinking; Misinformation; Echo (communications protocol),0.5,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W3214513092,https://doi.org/10.3386/w29458,Does Social Media Exacerbate Political Polarization? Experimental Evidence from Varying Access to Twitter/X during a Presidential Debate,2021,Rafael Di Tella; Ramiro H. Gálvez; Ernesto Schargrodsky,National Bureau of Economic Research,"We study how two groups, those inside vs those outside echo chambers, react to a political event when we vary social media status (Twitter). Our treatments mimic two strategies often suggested as a way to limit polarization on social media: they expose people to counter-attitudinal data, and they get people to switch off social media. Our main result is that subjects that started inside echo chambers became more polarized when these two strategies were implemented. The only scenario where they did not become more polarized is when they did not even experience the political event. Interestingly, subjects that were outside echo chambers before our study began experienced no change (or a reduction) in polarization. We also study a group of non-Twitter users in order to have a simple, offline benchmark of the debate's impact on polarization.",14,Echo (communications protocol); Polarization (electrochemistry); Social media; Presidential system; Political science,0.5,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W1814867318,https://doi.org/10.4324/9781315716299,The Routledge Companion to Social Media and Politics,2015,"Bruns, Axel 1970-; Enli, Gunn 1970-; Skogerbø, Eli; Larsson, Anders Olof; Christensen, Christian",,"The social media platforms Facebook and Twitter include political areas, for example presentations of political parties or elected representatives, or political hashtags linking tweets to specific political public spheres. In a sense, such areas might not be considered as third spaces because they are explicitly political. This chapter argues that everyday political talk—particularly in third spaces—has the potential to overcome many of the identified issues with online deliberation, including political polarisation and the avoidance of political talk. Content analysis of political, and particularly partisan-framed online groups, has also found polarization. One of the most prominent debates, to date, has been whether the Internet will become polarized, with like-minded people flocking together, enabling them to ignore alternative viewpoints. Moreover, as the use and understanding of the Internet as a space for political debate expanded, this was accompanied by more refined theorizing of the Internet as a public sphere and space for deliberation.",386,Politics; Social media; Media studies; Sociology; Mainstream,0.5,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W4389239522,https://doi.org/10.1017/s0003055423001211,The Polarizing Effect of Partisan Echo Chambers,2023,Sara B. Hobolt; Katharina Lawall; James Tilley,American Political Science Review,"We are witnessing increasing partisan polarization across the world. It is often argued that partisan “echo chambers” are one of the drivers of both policy and affective polarization. In this article, we develop and test the argument that the political homogeneity of people’s social environment shapes polarization. Using an innovative, large-scale pre-registered “lab-in-the-field” experiment in the United Kingdom, we examine how polarization is influenced by partisan group homogeneity. We recruit nationally representative partisans and assign them to discuss a salient policy issue, either with like-minded partisans (an echo chamber) or in a mixed-partisan group. This allows us to examine how group composition affects polarization. In line with our expectations, we find that partisan echo chambers increase both policy and affective polarization compared to mixed discussion groups. This has important implications for our understanding of the drivers of polarization and for how out-group animosity might be ameliorated in the mass public.",85,Polarization (electrochemistry); Salient; Political science; Politics; Social psychology,0.417,Include,Include,Matches 5 inclusion term(s).
https://openalex.org/W4409203368,https://doi.org/10.1007/s42001-025-00381-z,"A systematic review of echo chamber research: comparative analysis of conceptualizations, operationalizations, and varying outcomes",2025,David Hartmann; Sonja Mei Wang; Lena Pohlmann; Bettina Berendt,Journal of Computational Social Science,"Abstract This systematic review synthesizes research on echo chambers and filter bubbles to explore the reasons behind dissent regarding their existence, antecedents, and effects. It provides a taxonomy of conceptualizations and operationalizations, analyzing how measurement approaches and contextual factors influence outcomes. The review of 129 studies identifies variations in measurement approaches, as well as regional, political, cultural, and platform-specific biases, as key factors contributing to the lack of consensus. Studies based on homophily and computational social science methods often support the echo chamber hypothesis, while research on content exposure and broader media environments, such as surveys, tends to challenge it. Group behavior, cultural influences, instant messaging platforms, and short video platforms remain underexplored. The strong geographic focus on the United States further highlights the need for studies in multi-party systems and regions beyond the Global North. Future research should prioritize cross-platform studies, continuous algorithmic audits, and investigations into the causal links between polarization, fragmentation, and echo chambers to advance the field. This review also provides recommendations for using the EU’s Digital Services Act to enhance research in this area and conduct studies outside the US in multi-party systems. By addressing these gaps, this review contributes to a more comprehensive understanding of echo chambers, their measurement, and their societal impacts.",37,Psychology; Echo (communications protocol); Cognitive psychology; Computer science; Computer network,0.417,Include,Include,Matches 5 inclusion term(s).
